Feature,Importance,Category
S4_lag5,0.0032181556,Lagged
S9,0.0031710248,Sentiment
M5,0.0031710195,Market
I2_lag5,0.0031574701,Lagged
S11_lag5,0.0031232638,Lagged
M6_std5,0.0030966022,Rolling Std
M6_lag1,0.0030918724,Lagged
E11_std5,0.0030726555,Rolling Std
M7,0.0029735623,Market
E10,0.002959629,Economic
E2_lag5,0.002952379,Lagged
M5_ma5,0.0028894618,Moving Average
E4,0.0027303721,Economic
P9_lag20,0.0026882503,Lagged
M5_lag1,0.0025544043,Lagged
E13,0.0025459863,Economic
I5,0.0025170003,Other
S3,0.0024898201,Sentiment
V2_lag1,0.0023090793,Lagged
M11,0.0023017952,Market
E9,0.0022954682,Economic
I9,0.0022493487,Other
D4,0.0022292682,Other
S1,0.0021445404,Sentiment
E1_ma5,0.0020535665,Moving Average
E8,0.001923051,Economic
M1,0.0018569183,Market
M1_lag20,0.0018014944,Lagged
E17,0.001760576,Economic
M14,0.0017392563,Market
E5_lag1,0.0017098701,Lagged
E11,0.0015468413,Economic
D3,0.0015372684,Other
D8,0.0014931787,Other
V11,0.0014140527,Volatility
D6,0.0012952326,Other
M13,0.0009967297,Market
E1,0.00092438416,Economic
D5,0.0007796332,Other
D9,0.00039124058,Other
V1,0.00023915828,Volatility
D2,0.00015810407,Other
V10,0.0,Volatility
M1_lag5,0.0,Lagged
M1_lag1,0.0,Lagged
M1_ma5,0.0,Moving Average
V12,0.0,Volatility
V11_lag1,0.0,Lagged
M16,0.0,Market
V11_lag20,0.0,Lagged
E7,0.0,Economic
